Age,Country,Education,PreferredWorkEnvironment,SalaryImportance,WorkLifeBalance,CareerGrowth,Entrepreneurship,CareerSatisfaction,PursueHigherEd,StayWithEmployer3Years
22,Singapore,Bachelors,Office,Important,Low Priority,Medium,Yes,4,1,0
24,Australia,Bachelors,Office,Very Important,Low Priority,Low,Yes,3,1,0
24,Singapore,Masters,Remote,Important,Low Priority,Low,Maybe,2,0,1
28,Australia,Bachelors,Office,Less Important,High Priority,Low,No,2,1,0
21,Germany,Bachelors,Freelance,Moderate,Low Priority,Low,No,1,1,1
24,USA,Bachelors,Office,Moderate,Medium Priority,Low,Maybe,4,1,0
28,USA,High School,Hybrid,Moderate,Medium Priority,High,Yes,4,1,1
20,UK,Bachelors,Hybrid,Important,Low Priority,Medium,Yes,2,0,0
23,India,Bachelors,Freelance,Less Important,Medium Priority,High,Yes,1,0,0
29,Germany,Bachelors,Office,Important,High Priority,Low,Yes,2,1,1
19,Australia,Bachelors,Hybrid,Moderate,Low Priority,Low,Maybe,4,0,0
27,Germany,High School,Office,Important,High Priority,Medium,No,3,0,1
26,UK,High School,Hybrid,Moderate,Medium Priority,High,No,4,0,1
22,Canada,PhD,Remote,Very Important,Medium Priority,Low,Maybe,1,1,1
23,Canada,Bachelors,Remote,Moderate,Medium Priority,Low,Yes,4,0,0
29,UK,Bachelors,Freelance,Very Important,Medium Priority,Low,No,5,0,0
29,Australia,High School,Freelance,Very Important,High Priority,Low,Maybe,4,0,0
29,Singapore,High School,Office,Very Important,Low Priority,High,Yes,5,1,1
29,UK,Bachelors,Freelance,Moderate,High Priority,High,No,2,1,1
21,Australia,Bachelors,Office,Less Important,Low Priority,Low,Maybe,5,0,0
28,USA,Bachelors,Remote,Moderate,Medium Priority,High,No,4,0,1
27,UK,High School,Remote,Important,Medium Priority,Low,No,4,1,0
24,Australia,Bachelors,Hybrid,Important,Medium Priority,Medium,Maybe,4,1,1
29,UK,High School,Office,Less Important,Medium Priority,Medium,Maybe,1,1,1
26,UK,High School,Remote,Less Important,High Priority,Medium,No,2,1,0
24,Singapore,Bachelors,Remote,Less Important,Low Priority,High,No,5,1,1
18,Singapore,Bachelors,Office,Very Important,Low Priority,Low,Maybe,3,0,1
18,Australia,High School,Hybrid,Less Important,Medium Priority,Medium,Yes,5,0,1
26,Australia,Bachelors,Hybrid,Less Important,High Priority,Medium,Yes,4,1,1
28,India,Bachelors,Hybrid,Less Important,Medium Priority,High,Yes,3,1,1
26,UK,Masters,Hybrid,Moderate,Low Priority,High,Yes,3,0,1
21,Canada,Bachelors,Remote,Important,Low Priority,Medium,Maybe,5,1,0
26,UK,High School,Office,Important,High Priority,Low,Yes,5,1,0
20,UK,Bachelors,Office,Less Important,Low Priority,Low,No,5,1,0
24,Australia,PhD,Remote,Important,High Priority,Low,Yes,5,0,0
23,UK,Bachelors,Remote,Moderate,Medium Priority,Medium,Maybe,2,0,1
25,Germany,Bachelors,Remote,Important,Medium Priority,High,Yes,1,1,0
28,UK,High School,Freelance,Very Important,High Priority,Low,Yes,1,0,1
26,Germany,Bachelors,Office,Moderate,Medium Priority,Medium,Maybe,5,0,0
22,Singapore,High School,Office,Important,High Priority,Medium,Yes,1,1,0
18,Canada,Bachelors,Office,Important,Medium Priority,High,Maybe,5,1,1
20,Australia,Masters,Hybrid,Moderate,Medium Priority,Low,Yes,5,0,0
27,UK,PhD,Remote,Important,Low Priority,Medium,Maybe,5,1,1
29,Germany,Bachelors,Remote,Important,Low Priority,Low,Yes,2,0,1
25,Germany,Bachelors,Remote,Less Important,High Priority,Low,No,4,0,1
28,Singapore,Masters,Freelance,Very Important,Medium Priority,Low,No,1,1,1
23,Germany,Bachelors,Office,Moderate,Medium Priority,Medium,Maybe,1,1,1
25,USA,High School,Remote,Less Important,Medium Priority,Low,Maybe,2,0,1
26,India,Bachelors,Freelance,Important,Low Priority,High,Maybe,2,0,0
21,Canada,High School,Remote,Moderate,High Priority,Medium,No,5,0,1
18,Singapore,Bachelors,Hybrid,Moderate,High Priority,Medium,Maybe,5,1,1
18,Singapore,Bachelors,Office,Very Important,High Priority,Low,Yes,4,1,1
27,UK,Bachelors,Freelance,Very Important,Medium Priority,Low,Maybe,1,0,0
21,USA,Bachelors,Remote,Moderate,High Priority,Low,Maybe,2,0,1
29,UK,High School,Office,Very Important,Low Priority,Medium,Yes,4,0,1
24,UK,Bachelors,Freelance,Very Important,Low Priority,High,Yes,1,1,0
19,Australia,Masters,Office,Important,High Priority,High,No,4,1,1
20,Australia,Bachelors,Office,Very Important,Medium Priority,Medium,Yes,4,0,1
18,Australia,Bachelors,Hybrid,Very Important,Low Priority,High,Yes,5,1,1
22,USA,Masters,Office,Less Important,Low Priority,Low,Maybe,4,0,0
18,UK,Masters,Freelance,Important,Medium Priority,Medium,No,5,0,0
25,India,High School,Office,Important,Medium Priority,High,Yes,1,0,1
18,Canada,High School,Freelance,Moderate,High Priority,Medium,No,1,0,1
28,Australia,Bachelors,Office,Very Important,Low Priority,High,Yes,5,1,0
18,Australia,Masters,Remote,Less Important,Low Priority,Medium,No,3,1,0
19,Singapore,PhD,Hybrid,Less Important,High Priority,High,Yes,4,0,0
19,UK,Masters,Remote,Important,High Priority,Medium,Maybe,1,0,1
29,UK,Bachelors,Hybrid,Very Important,Low Priority,Medium,No,4,0,1
23,USA,Bachelors,Freelance,Less Important,Low Priority,Medium,No,3,0,1
24,USA,High School,Hybrid,Moderate,Medium Priority,Medium,Yes,4,1,1
22,Australia,High School,Office,Very Important,Medium Priority,Medium,No,3,1,1
18,UK,Bachelors,Office,Very Important,Low Priority,Low,Yes,2,0,1
18,India,Bachelors,Remote,Very Important,Low Priority,Medium,No,3,0,0
20,Canada,Bachelors,Hybrid,Less Important,Medium Priority,Medium,No,1,0,1
19,UK,Bachelors,Freelance,Important,High Priority,Medium,Maybe,5,1,0
22,Singapore,Bachelors,Freelance,Important,High Priority,High,Maybe,5,0,1
29,UK,Bachelors,Office,Moderate,Low Priority,Medium,No,4,0,0
27,Germany,High School,Freelance,Less Important,Low Priority,Low,Maybe,2,0,0
23,USA,Bachelors,Office,Very Important,Medium Priority,Medium,No,4,0,0
24,Singapore,Masters,Office,Moderate,Low Priority,High,Yes,3,0,1
21,Canada,Bachelors,Office,Moderate,High Priority,High,No,5,1,0
24,Australia,PhD,Remote,Important,Medium Priority,Medium,No,3,1,0
28,Singapore,Bachelors,Remote,Very Important,Medium Priority,Medium,Maybe,5,0,1
25,UK,Bachelors,Office,Very Important,High Priority,Medium,Maybe,5,0,1
28,Australia,Bachelors,Office,Less Important,High Priority,Medium,Yes,5,1,0
18,UK,Bachelors,Office,Less Important,Medium Priority,High,Yes,1,1,0
23,Australia,Masters,Freelance,Less Important,Low Priority,Medium,Yes,3,0,0
25,Canada,Bachelors,Office,Moderate,High Priority,High,No,4,1,1
22,USA,Masters,Office,Very Important,Medium Priority,High,Yes,2,1,1
21,Canada,High School,Hybrid,Important,Low Priority,Low,Yes,4,0,0
19,Germany,Masters,Hybrid,Moderate,Low Priority,High,Maybe,3,0,1
23,India,High School,Hybrid,Moderate,Medium Priority,Medium,Maybe,2,1,0
23,USA,Masters,Hybrid,Important,High Priority,Medium,Yes,4,1,0
28,Canada,Bachelors,Office,Important,Low Priority,Medium,Yes,2,0,1
18,Germany,Bachelors,Hybrid,Less Important,High Priority,Medium,No,3,0,0
26,India,Bachelors,Freelance,Important,Medium Priority,Low,No,5,0,1
29,Germany,Masters,Freelance,Important,High Priority,Low,Maybe,3,1,1
28,UK,High School,Hybrid,Important,Low Priority,Low,Yes,1,0,0
23,UK,Bachelors,Remote,Important,Medium Priority,Low,Yes,2,0,1
20,Australia,Masters,Freelance,Less Important,Low Priority,High,Yes,3,1,1
21,USA,Bachelors,Freelance,Moderate,Low Priority,Low,Yes,5,0,1
29,UK,High School,Hybrid,Very Important,Medium Priority,High,Yes,5,1,0
28,Singapore,Bachelors,Hybrid,Very Important,Medium Priority,Medium,No,3,0,0
21,Germany,Bachelors,Office,Moderate,High Priority,High,No,4,0,0
20,USA,Masters,Freelance,Very Important,Medium Priority,High,Yes,3,0,1
27,Singapore,Masters,Hybrid,Very Important,High Priority,Low,No,5,1,0
20,UK,Bachelors,Hybrid,Moderate,Medium Priority,Medium,No,3,1,0
20,Australia,PhD,Office,Very Important,Low Priority,Medium,Yes,1,0,1
21,Canada,Bachelors,Freelance,Very Important,High Priority,Low,No,4,1,0
24,Australia,High School,Hybrid,Moderate,Medium Priority,High,Yes,3,1,0
21,Singapore,Bachelors,Office,Very Important,High Priority,Low,No,5,0,1
26,India,Bachelors,Hybrid,Important,High Priority,High,Yes,3,0,1
18,UK,High School,Remote,Moderate,High Priority,Low,Yes,3,0,0
25,Singapore,Masters,Remote,Less Important,Low Priority,Low,No,2,1,0
24,India,Masters,Hybrid,Very Important,Medium Priority,Medium,No,3,1,0
19,India,Bachelors,Freelance,Less Important,Medium Priority,Medium,Maybe,1,0,0
25,Germany,Bachelors,Remote,Very Important,High Priority,Medium,Yes,5,0,1
18,USA,Bachelors,Office,Important,Medium Priority,Low,Yes,2,0,1
28,Germany,Masters,Hybrid,Moderate,Low Priority,Medium,Yes,3,0,1
29,UK,Masters,Office,Less Important,High Priority,Medium,Yes,4,0,1
26,India,Bachelors,Remote,Moderate,Low Priority,Low,No,1,0,1
26,Singapore,Masters,Freelance,Less Important,Low Priority,Medium,No,1,0,1
19,Canada,Bachelors,Office,Very Important,Medium Priority,High,Maybe,1,1,1
24,India,Bachelors,Remote,Important,Medium Priority,Medium,Yes,2,0,1
27,Singapore,High School,Remote,Less Important,High Priority,High,Maybe,3,0,1
20,Canada,High School,Remote,Less Important,Low Priority,Medium,Maybe,1,0,0
24,Germany,Bachelors,Office,Important,Medium Priority,Low,Maybe,3,0,0
29,Germany,Bachelors,Remote,Important,High Priority,Low,Maybe,4,1,1
27,USA,High School,Hybrid,Important,High Priority,Medium,Maybe,3,0,0
26,Singapore,Bachelors,Remote,Important,Medium Priority,High,No,3,0,1
21,India,High School,Hybrid,Important,Low Priority,Medium,No,3,0,1
29,Australia,Bachelors,Freelance,Moderate,High Priority,Low,Maybe,5,0,1
18,Germany,Bachelors,Hybrid,Very Important,Medium Priority,Medium,No,2,0,1
19,Germany,PhD,Freelance,Very Important,High Priority,Low,No,3,1,0
18,USA,Bachelors,Freelance,Less Important,Medium Priority,High,Maybe,1,0,0
29,Canada,High School,Hybrid,Important,High Priority,High,No,5,1,1
22,USA,Bachelors,Freelance,Moderate,Low Priority,Low,No,3,0,0
22,India,Masters,Hybrid,Moderate,High Priority,High,Yes,5,0,1
28,Singapore,PhD,Office,Less Important,Medium Priority,Low,Maybe,2,0,0
24,UK,Bachelors,Freelance,Important,Medium Priority,Low,Yes,5,1,0
26,UK,Bachelors,Hybrid,Very Important,Medium Priority,Low,Yes,1,0,0
26,Singapore,Masters,Freelance,Important,Low Priority,Medium,Maybe,3,0,1
20,Canada,High School,Remote,Moderate,Medium Priority,High,Yes,1,0,0
20,Germany,Bachelors,Hybrid,Important,Medium Priority,Medium,Yes,4,1,0
20,Canada,Bachelors,Remote,Very Important,Low Priority,Medium,No,5,0,0
21,Germany,High School,Freelance,Very Important,Medium Priority,High,Yes,5,1,0
25,Germany,Bachelors,Freelance,Less Important,Medium Priority,Medium,Maybe,5,1,0
23,UK,Bachelors,Office,Moderate,Low Priority,Low,No,2,1,0
25,Canada,Bachelors,Hybrid,Important,High Priority,Medium,No,1,0,1
18,USA,Masters,Remote,Important,Medium Priority,Low,No,4,1,0
25,Germany,Bachelors,Office,Less Important,High Priority,High,Maybe,2,0,0
21,Australia,Masters,Freelance,Less Important,Low Priority,Medium,Maybe,2,0,1
28,Australia,High School,Freelance,Less Important,Medium Priority,High,Maybe,3,1,0
18,USA,Bachelors,Office,Moderate,Medium Priority,Low,Yes,4,0,1
25,Australia,High School,Remote,Important,Low Priority,Medium,Yes,5,1,0
21,India,Masters,Freelance,Less Important,Medium Priority,Low,No,5,0,0
23,Germany,Masters,Freelance,Moderate,High Priority,Low,No,3,1,0
25,USA,Bachelors,Hybrid,Important,High Priority,Low,Maybe,5,0,1
21,Canada,Masters,Office,Very Important,Low Priority,High,Maybe,1,1,1
20,Germany,Bachelors,Freelance,Less Important,Medium Priority,High,Yes,5,0,0
26,USA,PhD,Remote,Moderate,Medium Priority,High,Yes,1,0,1
20,UK,Bachelors,Hybrid,Important,Low Priority,Medium,Maybe,3,1,1
26,Canada,Masters,Office,Important,High Priority,Low,Maybe,3,1,0
19,UK,Bachelors,Remote,Less Important,High Priority,High,Yes,1,0,1
19,Germany,High School,Freelance,Less Important,Low Priority,Low,No,5,0,1
19,Canada,Bachelors,Office,Important,Medium Priority,High,No,3,0,0
23,Australia,High School,Office,Moderate,High Priority,Low,Yes,3,0,0
20,USA,Bachelors,Remote,Very Important,Medium Priority,High,Yes,1,0,1
26,Germany,Bachelors,Office,Important,High Priority,High,No,3,1,1
21,India,Bachelors,Remote,Moderate,Medium Priority,High,Yes,5,0,0
18,Canada,High School,Freelance,Less Important,High Priority,High,No,3,0,1
21,Canada,High School,Hybrid,Important,Medium Priority,Low,No,1,1,0
18,Singapore,Bachelors,Remote,Less Important,Low Priority,High,Yes,5,0,1
22,Germany,PhD,Hybrid,Very Important,High Priority,High,Maybe,4,0,1
21,Germany,Bachelors,Office,Less Important,Low Priority,High,Maybe,1,1,1
25,UK,Bachelors,Remote,Very Important,High Priority,Low,Maybe,4,1,1
25,Singapore,Bachelors,Freelance,Less Important,High Priority,High,Maybe,3,1,0
24,Australia,Bachelors,Remote,Less Important,High Priority,Low,Maybe,5,1,0
20,UK,Bachelors,Remote,Very Important,Medium Priority,Medium,Maybe,3,0,1
18,Singapore,Bachelors,Remote,Less Important,High Priority,Low,Maybe,5,0,0
18,UK,High School,Hybrid,Moderate,Low Priority,Medium,Yes,2,1,1
29,Australia,PhD,Hybrid,Less Important,Medium Priority,High,Yes,3,0,1
28,Singapore,High School,Office,Important,Medium Priority,High,Maybe,3,0,0
20,Singapore,Bachelors,Office,Less Important,High Priority,Low,Yes,3,1,1
23,India,High School,Office,Moderate,Medium Priority,High,No,1,1,0
24,UK,High School,Office,Important,High Priority,High,Maybe,5,0,1
23,UK,Masters,Remote,Moderate,Low Priority,Low,No,5,1,0
23,Canada,High School,Hybrid,Important,Medium Priority,High,Yes,5,1,0
23,Australia,High School,Hybrid,Less Important,Medium Priority,Medium,Maybe,1,1,1
20,USA,Bachelors,Hybrid,Moderate,Low Priority,Medium,No,5,1,1
23,India,High School,Hybrid,Less Important,Low Priority,High,Yes,3,0,1
25,Singapore,High School,Office,Important,High Priority,High,Maybe,4,1,1
28,Singapore,Masters,Remote,Moderate,Medium Priority,Medium,Maybe,2,1,1
28,Singapore,Masters,Hybrid,Very Important,Low Priority,High,No,5,1,1
19,India,Masters,Freelance,Moderate,Medium Priority,Medium,No,1,1,0
22,Singapore,Masters,Remote,Less Important,Low Priority,Low,No,1,0,0
18,Singapore,Bachelors,Freelance,Very Important,Medium Priority,Medium,Yes,5,0,0
29,Australia,High School,Remote,Very Important,Low Priority,High,No,4,0,0
18,Germany,Masters,Remote,Important,Medium Priority,High,No,5,1,0
22,Germany,Masters,Remote,Very Important,High Priority,Medium,No,1,1,0
29,Canada,Masters,Freelance,Very Important,Medium Priority,Medium,Maybe,2,0,1
20,Canada,Bachelors,Hybrid,Important,High Priority,High,No,4,0,0
21,Singapore,High School,Hybrid,Moderate,High Priority,High,No,5,1,1
20,Australia,Masters,Freelance,Less Important,High Priority,High,Yes,2,0,1
18,Singapore,Bachelors,Hybrid,Moderate,Medium Priority,Low,Yes,5,0,1
18,Canada,PhD,Office,Very Important,Medium Priority,Low,No,4,0,0
